"term","estimate","IRR","robust_std_error","z_value","p_value"
"(Intercept)",-1.3993,0.2468,0.2871,-4.8743,0
"site大村圓環",-0.3364,0.7143,0.3929,-0.8564,0.3918
"site中興新村圓環",1.7732,5.8899,0.2767,6.409,0
"site內埔圓環",2.1782,8.8304,0.2625,8.297,0
"site芒果圓環",0.4517,1.571,0.3026,1.4929,0.1355
"site岡山圓環",0.3568,1.4287,0.3238,1.1019,0.2705
"site南投市中心圓環",0.0316,1.0321,0.3059,0.1033,0.9177
"site南門圓環",1.2188,3.3831,0.2965,4.1103,0
"site高雄控制組八",-0.9128,0.4014,0.4402,-2.0735,0.0381
"site高雄控制組五",-0.6615,0.5161,0.4016,-1.6471,0.0995
"site麻豆圓環",1.4179,4.1285,0.2885,4.9147,0
"site新化圓環",1.1666,3.211,0.28,4.1669,0
"site新營圓環",1.6186,5.0459,0.2826,5.7274,0
"site嘉義東門圓環",-0.1507,0.8601,0.3715,-0.4056,0.685
"site嘉義噴水圓環",1.9034,6.7088,0.2689,7.0794,0
"site潮州燒冷冰",2.2613,9.5958,0.2623,8.6201,0
"site歸仁圓環",2.4665,11.7813,0.2615,9.4313,0
"IsYr110",0.366,1.442,0.1048,3.492,5e-04
"IsYr111",0.0861,1.0899,0.1169,0.7363,0.4615
"IsYr112",0.2359,1.266,0.1205,1.9574,0.0503
"IsYr113",0.1361,1.1458,0.1184,1.1492,0.2505
"IsYr114",0.3187,1.3754,0.1234,2.5831,0.0098
"IsMonth2",-0.4698,0.6251,0.155,-3.0313,0.0024
"IsMonth3",-0.1,0.9048,0.1518,-0.6589,0.51
"IsMonth4",-0.0879,0.9159,0.1524,-0.5768,0.5641
"IsMonth5",-0.2478,0.7805,0.1457,-1.7004,0.0891
"IsMonth6",-0.2886,0.7493,0.1703,-1.6947,0.0901
"IsMonth7",-0.4335,0.6483,0.1538,-2.8181,0.0048
"IsMonth8",-0.5,0.6065,0.168,-2.9769,0.0029
"IsMonth9",-0.2026,0.8166,0.1456,-1.3916,0.1641
"IsMonth10",-0.0877,0.916,0.141,-0.6222,0.5338
"IsMonth11",-0.243,0.7843,0.1567,-1.5508,0.1209
"IsMonth12",-0.0958,0.9086,0.1552,-0.6173,0.5371
"is_experimented:is_treated",-0.3442,0.7088,0.1222,-2.817,0.0048
