"term","estimate","IRR","robust_std_error","z_value","p_value"
"(Intercept)",-1.5892,0.2041,0.3124,-5.087,0
"site大村圓環",-0.3015,0.7397,0.4344,-0.6941,0.4877
"site中興新村圓環",1.882,6.5664,0.2903,6.4838,0
"site內埔圓環",2.1697,8.7554,0.2789,7.7793,0
"site芒果圓環",0.3951,1.4845,0.3388,1.1659,0.2437
"site岡山圓環",0.3313,1.3928,0.3553,0.9325,0.3511
"site南投市中心圓環",0.577,1.7808,0.3372,1.7115,0.087
"site高雄控制組二",-0.4038,0.6678,0.4063,-0.9938,0.3203
"site高雄控制組五",-0.6551,0.5194,0.4486,-1.4603,0.1442
"site麻豆圓環",1.6331,5.1197,0.3007,5.4318,0
"site潮州燒冷冰",2.4124,11.1605,0.2766,8.7219,0
"site歸仁圓環",2.6122,13.6293,0.2791,9.3601,0
"IsYr110",0.386,1.4711,0.1282,3.0113,0.0026
"IsYr111",0.1167,1.1238,0.1387,0.8414,0.4001
"IsYr112",0.3445,1.4113,0.1591,2.1656,0.0303
"IsYr113",-0.0869,0.9168,0.1575,-0.5517,0.5811
"IsYr114",0.1252,1.1334,0.1701,0.7361,0.4617
"IsMonth2",-0.8263,0.4377,0.2077,-3.9789,1e-04
"IsMonth3",-0.1433,0.8665,0.186,-0.7706,0.4409
"IsMonth4",-0.0157,0.9844,0.1806,-0.0871,0.9306
"IsMonth5",-0.3652,0.6941,0.1788,-2.0428,0.0411
"IsMonth6",-0.2512,0.7778,0.2185,-1.1498,0.2502
"IsMonth7",-0.438,0.6453,0.2052,-2.1346,0.0328
"IsMonth8",-0.4106,0.6633,0.209,-1.9646,0.0495
"IsMonth9",-0.3073,0.7355,0.1829,-1.6796,0.093
"IsMonth10",-0.1228,0.8845,0.176,-0.6975,0.4855
"IsMonth11",-0.367,0.6928,0.2066,-1.7761,0.0757
"IsMonth12",-0.0239,0.9764,0.1812,-0.1317,0.8952
"is_experimented:is_treated",-0.3027,0.7388,0.1491,-2.0305,0.0423
