"term","estimate","IRR","robust_std_error","z_value","p_value"
"(Intercept)",-1.4213,0.2414,0.2966,-4.7929,0
"site大村圓環",-0.3211,0.7253,0.3931,-0.817,0.4139
"site中興新村圓環",1.7868,5.9703,0.2777,6.4341,0
"site內埔圓環",2.2076,9.0937,0.2632,8.3886,0
"site芒果圓環",0.4565,1.5785,0.3032,1.5054,0.1322
"site岡山圓環",0.3669,1.4432,0.3233,1.1347,0.2565
"site南投市中心圓環",0.061,1.0629,0.3071,0.1986,0.8425
"site高雄控制組二",-0.4315,0.6496,0.3729,-1.1572,0.2472
"site高雄控制組五",-0.6321,0.5315,0.4039,-1.5652,0.1175
"site麻豆圓環",1.4473,4.2516,0.2886,5.0153,0
"site潮州燒冷冰",2.3639,10.6324,0.2617,9.0313,0
"site歸仁圓環",2.457,11.6698,0.2628,9.3504,0
"IsYr110",0.3904,1.4776,0.1192,3.2761,0.0011
"IsYr111",0.1428,1.1535,0.1349,1.0585,0.2898
"IsYr112",0.3566,1.4285,0.1412,2.5252,0.0116
"IsYr113",0.0581,1.0598,0.1455,0.3989,0.69
"IsYr114",0.268,1.3073,0.1473,1.8185,0.069
"IsMonth2",-0.5876,0.5557,0.188,-3.1253,0.0018
"IsMonth3",-0.0411,0.9598,0.17,-0.2416,0.8091
"IsMonth4",0.004,1.004,0.1683,0.0235,0.9812
"IsMonth5",-0.3405,0.7114,0.1621,-2.1005,0.0357
"IsMonth6",-0.2439,0.7836,0.1929,-1.2642,0.2062
"IsMonth7",-0.407,0.6656,0.1796,-2.2657,0.0235
"IsMonth8",-0.4602,0.6312,0.1923,-2.3935,0.0167
"IsMonth9",-0.2172,0.8048,0.1613,-1.3468,0.178
"IsMonth10",-0.2353,0.7904,0.1636,-1.4382,0.1504
"IsMonth11",-0.435,0.6472,0.177,-2.4584,0.014
"IsMonth12",-0.1133,0.8929,0.172,-0.6588,0.51
"is_experimented:is_treated",-0.2614,0.77,0.1304,-2.0051,0.045
